Lokacija,St_Ponudb
Adlešiči,3
Afganistan,2
Ajdovščina,3
Ajševica,5
Albanija,2
Ambrož pod krvavcem,1
Andraž nad polzelo,2
Anhovo,268
Ankaran,236
Apače,10
Arja vas,105
Artiče,6
Avstralija,4
Avstrija,2892
Banovci,21
Batuje,7
Bač pri materiji,1
Begunje na gorenjskem,424
Begunje pri cerknici,3
Belgija,121
Belorusija,5
Belsko,3
Benečija,1
Bertoki,1
Bevke,10
Bilje,3
Bistrica,1
Bistrica ob dravi,150
Bistrica ob sotli,3
Bistrica pri tržiču,7
Bitnje,1
Bizeljsko,7
Bič,19
Blagovica,6
Blanca,11
Bled,1443
Blejska dobrava,122
Bodovlje,1
Bogojina,3
Bohova,20
Bolgarija,5
Boračeva,2
Boreci,1
Borovci,16
Borovnica,261
Bovec,452
Boštanj,42
Branik,23
Braslovče,129
Brda,1
Brdo,4
Brdo pri lukovici,4
Breg,13
Breg pri borovnici,110
Breg pri litiji,12
Brestanica,153
Bresternica,5
Brezje,14
Brezje pri grosupljem,6
Breznica,6
Brezno,2
Brezovica,253
Brezovica pri ljubljani,358
Brežice,1045
Britof,10
Brod,10
Budanje,2
Buje,1
Bukovica,14
Bukošek,1
Buče,1
Cankova,2
Celje,9640
Cerklje na gorenjskem,360
Cerklje ob krki,7
Cerknica,678
Cerkno,525
Cerkvenjak,78
Cerovec pri šmarju,4
Cezlak,6
Cirkovce,5
Cirkulane,5
Dane pri sežani,1
Danska,6
Dekani,338
Depala vas,3
Deskle,67
Destrnik,4
Divača,163
Dob,18
Dobeno,3
Dobje pri planini,15
Dobova,29
Dobravlje,2
Dobrna,183
Dobrnič,7
Dobrova,161
Dobrovnik,2
Dobrovo,4
Dobruška vas,26
Dol pri hrastniku,11
Dol pri ljubljani,396
Dole pri litiji,1
Dolenja vas,17
Dolenje ponikve,2
Dolenjska regija,245
Dolenjske toplice,350
Dolsko,4
Domžale,2442
Dornava,3
Dragomelj,2
Dragomer,4
Dragonja,4
Dragonja vas,1
Dramlje,7
Dravograd,309
Drenov grič,2
Drnovo,12
Dunaj,177
Duplje,2
Dutovlje,6
Dvor,10
Egipt,14
Ekvador,2
Eu,216
Fram,38
Francija,50
Frankolovo,2
Gabrovka,1
Gederovci,5
Gerečja vas,2
Godovič,173
Gojače,6
Golnik,117
Golo,1
Gomilsko,128
Gorenja vas,100
Gorenje pri zrečah,4
Gorenjska regija,395
Gorica,22
Gorica pri slivnici,5
Goriška regija,500
Gorišnica,23
Gornja radgona,1488
Gornji grad,32
Gotovlje,1
Gozd martuljek,30
Grabonoš,6
Grad,1
Gradec,144
Gradišče,4
Gradišče pri materiji,11
Gračišče,2
Grgar,1
Griže,37
Grosuplje,3926
Grčija,5
Hajdoše,5
Hodoš,4
Homec,4
Horjul,617
Hotavlje,12
Hotiza,1
Hrastje,10
Hrastnik,536
Hrastovec,12
Hrpelje,8
Hruševje,1
Hrušica,36
Hrvaška,121
Idrija,1362
Idrija pri bači,2
Ig,214
Iga vas,8
Ihan,14
Ilirska bistrica,291
Indija,1
Indonezija,3
Irska,104
Islandija,2
Italija,121
Ivanjkovci,1
Ivančna gorica,1533
Izlake,119
Izola,1252
Japonska,1
Jarše,43
Jelša,1
Jelšane,17
Jesenica,1
Jesenice,2220
Jugovzhodna slovenija,46
Jurka vas,2
Jurklošter,1
Jurovski dol,1
Južna afrika,1
Južna koreja,3
Kal,7
Kamna gorica,4
Kamnica,21
Kamnik,4039
Kamnik pod krimom,25
Kamniška bistrica,6
Kanada,7
Kanal,70
Kandrše,72
Kanižarica,1
Kasaze,1
Katar,34
Kidričevo,266
Kisovec,73
Knežak,2
Kobarid,214
Kobile,1
Kobjeglava,3
Kog,2
Kokrica,20
Količevo,160
Kolumbija,4
Komen,333
Komenda,2195
Koper,7069
Koprivnica,1
Koroška bela,1
Koroška regija,129
Korte,2
Kostanjevica,22
Kostanjevica na krasu,3
Kostanjevica na krki,98
Kostel,1
Kotlje,2
Kozina,12
Kozje,24
Kočevje,1234
Kočevska reka,8
Kranj,10198
Kranjska gora,742
Kresnice,5
Križe,12
Križevci,8
Križevci pri ljutomeru,109
Krka,9
Krmelj,21
Kromberk,36
Kropa,16
Krvavi potok,2
Krška vas,2
Krško,1837
Kuzma,1
Lahovče,9
Latkova vas,73
Lavrica,127
Laško,957
Lašče,2
Lenart v slovenskih goricah,170
Lendava,605
Lesce,984
Lesično,19
Leskovec,3
Leskovec pri krškem,163
Letuš,3
Levec,82
Libija,3
Limbuš,252
Lipica,438
Lipnica,495
Lipovci,18
Litija,523
Litva,4
Ljubečna,300
Ljubljana,103606
Ljubno,6
Ljutomer,790
Log nad škofjo loko,6
Log pod mangartom,9
Log pri brezovici,8
Logatec,2466
Loka pri mengšu,1
Loka pri zidanem mostu,1
Loka pri žusmu,8
Loke,1
Lokev,25
Lom,48
Lovrenc na dravskem polju,1
Lovrenc na pohorju,29
Loče,86
Loče pri poljčanah,15
Lož,6
Ložnica pri žalcu,72
Lucija,196
Lukavci,1
Lukovica pri domžalah,109
Luksemburg,13
Madžarska,28
Majšperk,42
Mala bukovica,3
Mala nedelja,1
Mala vas pri grosupljem,1
Maldivi,3
Malečnik,23
Mali gaber,3
Malo hudo,1
Malta,11
Marezige,6
Maribor,16167
Marjeta na dravskem polju,2
Markovci,30
